,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
0,bfc_SRR1543964_raw_21.corrected.fastq.gz,run.bfc.sh,21,4041,39832,2521,198,108,0,0,46700,8430,11100972,4874,211,114,0,0,0,11114601,Bfc,NA,100,0.6336440168370415,0.9866573033707865,0.6250751653638004,0.9995322369197059,RSR,0.0,
1,bfc_SRR1543965_raw_18.corrected.fastq.gz,run.bfc.sh,18,2375,39991,4120,144,70,0,0,46700,4959,11102819,6594,148,80,0,0,0,11114600,Bfc,NA,100,0.42923915866008827,0.9841238340940662,0.4223145503332468,0.999386212729203,RSR,0.0,
2,bfc_SRR1543965_raw_26.corrected.fastq.gz,run.bfc.sh,26,2671,39991,3876,100,62,0,0,46700,5325,11102825,6270,106,74,0,0,0,11114600,Bfc,NA,100,0.4592496765847348,0.9862937581033525,0.4528676153514446,0.999419682219783,RSR,0.0,
3,bfc_SRR1543965_raw_16.corrected.fastq.gz,run.bfc.sh,16,2236,39983,4252,153,76,0,0,46700,4751,11102802,6794,156,97,0,0,0,11114600,Bfc,NA,100,0.4115201385881334,0.9799917491749175,0.4031182330012993,0.9993659690857071,RSR,0.0,
4,bfc_SRR1543964_raw_18.corrected.fastq.gz,run.bfc.sh,18,2304,39831,4256,159,150,0,0,46700,5118,11100925,8230,167,161,0,0,0,11114601,Bfc,NA,100,0.38342822894815703,0.9695017995832544,0.3713664968534612,0.9992300218424395,RSR,0.0,
5,bfc_SRR1543965_raw_19.corrected.fastq.gz,run.bfc.sh,19,3833,39991,2660,190,26,0,0,46700,7528,11102869,3977,196,30,0,0,0,11114600,Bfc,NA,100,0.6543242068665798,0.9960306959513099,0.6517166449369839,0.9996218487394958,RSR,0.0,
6,bfc_SRR1543964_raw_20.corrected.fastq.gz,run.bfc.sh,20,2355,39832,4238,131,144,0,0,46700,5170,11100931,8205,140,155,0,0,0,11114601,Bfc,NA,100,0.3865420560747664,0.9708920187793427,0.3749532710280374,0.9992352402034045,RSR,0.0,
7,bfc_SRR1543964_raw_23.corrected.fastq.gz,run.bfc.sh,23,4166,39833,2420,178,102,1,1,46700,8533,11100976,4799,183,109,1,1,0,11114602,Bfc,NA,100,0.64003900390039,0.9872729376373944,0.6317881788178817,0.9995417739654555,RSR,8.997173268102627e-08,0.0
8,bfc_SRR1543964_raw_22.corrected.fastq.gz,run.bfc.sh,22,2552,39833,4016,142,157,0,0,46700,5451,11100920,7921,143,166,0,0,0,11114601,Bfc,NA,100,0.4076428357762489,0.970446857753249,0.3952288363745139,0.999259532573414,RSR,0.0,
9,bfc_SRR1543965_raw_28.corrected.fastq.gz,run.bfc.sh,28,2745,39954,3754,116,131,0,0,46700,5454,11102747,6127,120,152,0,0,0,11114600,Bfc,NA,100,0.47094378723771696,0.9728861933642526,0.45781884120542266,0.9994242707789754,RSR,0.0,
10,bfc_SRR1543965_raw_23.corrected.fastq.gz,run.bfc.sh,23,4034,39991,2464,174,37,0,0,46700,7776,11102852,3747,178,47,0,0,0,11114600,Bfc,NA,100,0.6748242645144493,0.9939920746516682,0.670745465590558,0.9996426322134849,RSR,0.0,
11,bfc_SRR1543965_raw_20.corrected.fastq.gz,run.bfc.sh,20,2465,39991,4021,149,74,0,0,46700,5115,11102813,6433,153,86,0,0,0,11114600,Bfc,NA,100,0.4429338413578109,0.9834647183233993,0.43548666435746447,0.9993997084915337,RSR,0.0,
12,bfc_SRR1543964_raw_24.corrected.fastq.gz,run.bfc.sh,24,2540,39833,4038,129,160,0,0,46700,5476,11100915,7905,134,171,0,0,0,11114601,Bfc,NA,100,0.4092369778043495,0.9697184345670268,0.3964576638517301,0.9992613320082295,RSR,0.0,
13,bfc_SRR1543964_raw_14.corrected.fastq.gz,run.bfc.sh,14,1896,39813,4628,190,173,0,0,46700,4533,11100883,8770,212,203,0,0,0,11114601,Bfc,NA,100,0.34075020672028866,0.9571368243243243,0.32549049086672177,0.999173609560973,RSR,0.0,
14,bfc_SRR1543964_raw_19.corrected.fastq.gz,run.bfc.sh,19,3941,39832,2610,216,101,0,0,46700,8302,11100980,4988,225,106,0,0,0,11114601,Bfc,NA,100,0.6246802106847253,0.9873929590865842,0.6167042889390519,0.9995214403108128,RSR,0.0,
15,bfc_SRR1543965_raw_21.corrected.fastq.gz,run.bfc.sh,21,3918,39991,2575,183,33,0,0,46700,7655,11102861,3858,188,38,0,0,0,11114600,Bfc,NA,100,0.6649005472075046,0.9950604445599897,0.6615999305133328,0.9996325553776114,RSR,0.0,
16,bfc_SRR1543966_raw_14.corrected.fastq.gz,run.bfc.sh,14,1835,41379,2964,140,382,0,0,46700,3621,11105652,4764,156,407,0,0,0,11114600,Bfc,NA,100,0.4318425760286225,0.8989572989076465,0.3833035181872391,0.999520720493765,RSR,0.0,
17,bfc_SRR1543964_raw_26.corrected.fastq.gz,run.bfc.sh,26,2553,39833,4005,134,175,0,0,46700,5512,11100903,7866,137,183,0,0,0,11114601,Bfc,NA,100,0.4120197338914636,0.9678665496049166,0.3983405591269248,0.9992634913300081,RSR,0.0,
18,bfc_SRR1543966_raw_16.corrected.fastq.gz,run.bfc.sh,16,1923,41379,2920,106,372,0,0,46700,3864,11105665,4565,112,394,0,0,0,11114600,Bfc,NA,100,0.45841736860837584,0.9074682949741663,0.41167398267884686,0.9995437532614759,RSR,0.0,
19,bfc_SRR1543965_raw_24.corrected.fastq.gz,run.bfc.sh,24,2595,39991,3910,133,71,0,0,46700,5232,11102814,6332,137,85,0,0,0,11114600,Bfc,NA,100,0.45243860255966795,0.9840135414707541,0.4450882047734348,0.9994103251579004,RSR,0.0,
20,bfc_SRR1543965_raw_14.corrected.fastq.gz,run.bfc.sh,14,2098,39960,4351,159,132,0,0,46700,4486,11102727,7050,165,172,0,0,0,11114600,Bfc,NA,100,0.38886962552011095,0.9630742808072134,0.3739597780859917,0.999335378691091,RSR,0.0,
21,bfc_SRR1543964_raw_16.corrected.fastq.gz,run.bfc.sh,16,2158,39831,4396,166,149,0,0,46700,4806,11100917,8533,176,169,0,0,0,11114601,Bfc,NA,100,0.36029687382862285,0.9660301507537689,0.34762725841517356,0.9992012308853913,RSR,0.0,
22,bfc_SRR1543966_raw_20.corrected.fastq.gz,run.bfc.sh,20,2069,41379,2796,85,371,0,0,46700,4009,11105671,4444,88,388,0,0,0,11114600,Bfc,NA,100,0.4742694901218502,0.9117580168296566,0.4283686265231279,0.9995573389955554,RSR,0.0,
23,bfc_SRR1543966_raw_19.corrected.fastq.gz,run.bfc.sh,19,3208,41379,1651,119,343,0,0,46700,5923,11105709,2494,124,350,0,0,0,11114600,Bfc,NA,100,0.7036949031721516,0.9442053244061852,0.6621123915884519,0.9997329638493513,RSR,0.0,
24,bfc_SRR1543964_raw_28.corrected.fastq.gz,run.bfc.sh,28,2633,39813,3909,140,205,0,0,46700,5628,11100876,7741,146,210,0,0,0,11114601,Bfc,NA,100,0.4209738948313262,0.9640287769784173,0.4052659136809036,0.9992714988149373,RSR,0.0,
25,bfc_SRR1543966_raw_18.corrected.fastq.gz,run.bfc.sh,18,2061,41379,2779,105,376,0,0,46700,3970,11105666,4456,115,393,0,0,0,11114600,Bfc,NA,100,0.471160693092808,0.9099243639697456,0.42451934488488013,0.9995533802386051,RSR,0.0,
26,bfc_SRR1543965_raw_22.corrected.fastq.gz,run.bfc.sh,22,2535,39991,3978,127,69,0,0,46700,5141,11102813,6430,130,86,0,0,0,11114600,Bfc,NA,100,0.4443004061878835,0.9835469676678783,0.4368680321493389,0.9994020477570043,RSR,0.0,
27,bfc_SRR1543966_raw_22.corrected.fastq.gz,run.bfc.sh,22,2267,41379,2605,78,371,0,0,46700,4286,11105678,4174,81,381,0,0,0,11114600,Bfc,NA,100,0.5066193853427896,0.9183629740732805,0.46158392434988177,0.9995828909722347,RSR,0.0,
28,bfc_SRR1543966_raw_23.corrected.fastq.gz,run.bfc.sh,23,3370,41379,1509,100,342,0,0,46700,6151,11105710,2286,104,349,0,0,0,11114600,Bfc,NA,100,0.7290506104065426,0.9463076923076923,0.6876851961597724,0.9997535673798428,RSR,0.0,
29,bfc_SRR1543967_raw_19.corrected.fastq.gz,run.bfc.sh,19,3269,40990,1458,129,854,0,0,46700,6076,11105260,2254,134,876,0,0,0,11114600,Bfc,NA,100,0.7294117647058823,0.8739930955120828,0.6242496998799519,0.9997063322116855,RSR,0.0,
32,bfc_SRR1543967_raw_14.corrected.fastq.gz,run.bfc.sh,14,1814,40977,2849,127,933,0,0,46700,3716,11105163,4609,139,973,0,0,0,11114600,Bfc,NA,100,0.44636636636636634,0.7924930688846236,0.3294894894894895,0.9994852716247098,RSR,0.0,
33,bfc_SRR1543967_raw_16.corrected.fastq.gz,run.bfc.sh,16,1954,40989,2772,98,887,0,0,46700,3899,11105223,4462,103,913,0,0,0,11114600,Bfc,NA,100,0.4663317784953953,0.8102660016625104,0.3571343140772635,0.9995071347596854,RSR,0.0,
34,bfc_SRR1543966_raw_28.corrected.fastq.gz,run.bfc.sh,28,2401,41335,2437,78,449,0,0,46700,4499,11105599,3961,81,460,0,0,0,11114600,Bfc,NA,100,0.5317966903073286,0.9072393627747529,0.47742316784869976,0.9995949471865834,RSR,0.0,
35,bfc_SRR1543967_raw_18.corrected.fastq.gz,run.bfc.sh,18,2027,40991,2701,101,880,0,0,46700,4097,11105227,4261,106,909,0,0,0,11114600,Bfc,NA,100,0.4901890404402967,0.8184178985217738,0.3814309643455372,0.9995253090529573,RSR,0.0,
36,bfc_SRR1543966_raw_21.corrected.fastq.gz,run.bfc.sh,21,3275,41379,1608,94,344,0,0,46700,6042,11105708,2402,97,351,0,0,0,11114600,Bfc,NA,100,0.7155376598768356,0.9450961989676209,0.6739696826148744,0.9997435805157181,RSR,0.0,
38,bfc_SRR1543966_raw_24.corrected.fastq.gz,run.bfc.sh,24,2331,41379,2531,86,373,0,0,46700,4328,11105674,4124,89,385,0,0,0,11114600,Bfc,NA,100,0.5120681495504023,0.9183110545300234,0.46651680075721724,0.9995863098986918,RSR,0.0,
41,bfc_SRR1543966_raw_26.corrected.fastq.gz,run.bfc.sh,26,2299,41379,2564,91,367,0,0,46700,4386,11105681,4062,93,378,0,0,0,11114600,Bfc,NA,100,0.5191761363636364,0.9206549118387909,0.4744318181818182,0.9995921580623685,RSR,0.0,
45,bfc_SRR1543967_raw_20.corrected.fastq.gz,run.bfc.sh,20,2114,40991,2611,96,888,0,0,46700,4223,11105220,4136,105,916,0,0,0,11114600,Bfc,NA,100,0.5052039717669577,0.8217552052928585,0.39562148582366313,0.999536015691073,RSR,0.0,
50,bfc_SRR1543967_raw_21.corrected.fastq.gz,run.bfc.sh,21,3307,40990,1424,122,857,0,0,46700,6115,11105256,2219,130,880,0,0,0,11114600,Bfc,NA,100,0.7337413006959443,0.8741958541815582,0.6281497480201584,0.999709481222896,RSR,0.0,
51,bfc_SRR1543968_raw_14.corrected.fastq.gz,run.bfc.sh,14,1960,41279,3231,106,124,0,0,46700,4213,11104625,5482,118,162,0,0,0,11114600,Bfc,NA,100,0.4345538937596699,0.9629714285714286,0.41784424961320266,0.9994815827830061,RSR,0.0,
52,bfc_SRR1543967_raw_26.corrected.fastq.gz,run.bfc.sh,26,2342,41233,2420,78,627,0,0,46700,4476,11105492,3904,84,644,0,0,0,11114600,Bfc,NA,100,0.5341288782816229,0.87421875,0.45727923627684963,0.9995832508592302,RSR,0.0,
55,bfc_SRR1543967_raw_24.corrected.fastq.gz,run.bfc.sh,24,2317,41234,2435,82,632,0,0,46700,4387,11105483,3990,87,653,0,0,0,11114600,Bfc,NA,100,0.523695833830727,0.870436507936508,0.4457442998686881,0.9995744336278408,RSR,0.0,
56,bfc_SRR1543967_raw_28.corrected.fastq.gz,run.bfc.sh,28,2401,41170,2307,74,748,0,0,46700,4603,11105368,3782,79,768,0,0,0,11114600,Bfc,NA,100,0.5489564698867024,0.8570098678086018,0.4573643410852713,0.9995835207744768,RSR,0.0,
57,bfc_SRR1543968_raw_19.corrected.fastq.gz,run.bfc.sh,19,3540,41321,1684,138,17,0,0,46700,6808,11104757,2863,142,30,0,0,0,11114600,Bfc,NA,100,0.7039602936614621,0.9956127522667446,0.700858235963189,0.999726935742177,RSR,0.0,
61,bfc_SRR1543968_raw_21.corrected.fastq.gz,run.bfc.sh,21,3613,41321,1623,124,19,0,0,46700,6930,11104762,2753,130,25,0,0,0,11114600,Bfc,NA,100,0.7156872869978312,0.9964054636951833,0.7131054425281421,0.9997383621542836,RSR,0.0,
62,bfc_SRR1543968_raw_16.corrected.fastq.gz,run.bfc.sh,16,2097,41320,3107,107,69,0,0,46700,4422,11104699,5276,115,88,0,0,0,11114600,Bfc,NA,100,0.45597030315528975,0.9804878048780488,0.44689626727160237,0.9995070447879366,RSR,0.0,
65,bfc_SRR1543968_raw_22.corrected.fastq.gz,run.bfc.sh,22,2397,41321,2849,83,50,0,0,46700,4879,11104728,4849,85,59,0,0,0,11114600,Bfc,NA,100,0.5015419407894737,0.9880518428513568,0.4954769736842105,0.9995507710578878,RSR,0.0,
66,bfc_SRR1543968_raw_18.corrected.fastq.gz,run.bfc.sh,18,2260,41321,2951,102,66,0,0,46700,4648,11104706,5055,110,81,0,0,0,11114600,Bfc,NA,100,0.47902710501906626,0.9828716430534997,0.47067917139029164,0.9995280082054235,RSR,0.0,
67,bfc_SRR1543968_raw_20.corrected.fastq.gz,run.bfc.sh,20,2360,41321,2868,90,61,0,0,46700,4795,11104715,4923,95,72,0,0,0,11114600,Bfc,NA,100,0.4934142827742334,0.985206492705979,0.48600535089524594,0.9995420437982474,RSR,0.0,
69,bfc_SRR1543967_raw_22.corrected.fastq.gz,run.bfc.sh,22,2251,40991,2483,91,884,0,0,46700,4335,11105220,4032,97,916,0,0,0,11114600,Bfc,NA,100,0.5181068483327358,0.8255570367549038,0.4086291382813434,0.9995460925269465,RSR,0.0,
70,bfc_SRR1543968_raw_26.corrected.fastq.gz,run.bfc.sh,26,2465,41320,2774,74,67,0,0,46700,4958,11104706,4778,77,81,0,0,0,11114600,Bfc,NA,100,0.5092440427280197,0.9839253820202422,0.5009244042728019,0.9995558994475735,RSR,0.0,
71,bfc_SRR1543969_raw_22.corrected.fastq.gz,run.bfc.sh,22,2958,40107,3315,107,213,0,0,46700,6460,11101054,6748,112,226,0,0,0,11114600,Bfc,NA,100,0.48909751665657175,0.9661980257253964,0.47198667474258027,0.9993624601875011,RSR,0.0,
73,bfc_SRR1543967_raw_23.corrected.fastq.gz,run.bfc.sh,23,3411,41234,1353,105,597,0,0,46700,6215,11105522,2138,111,614,0,0,0,11114600,Bfc,NA,100,0.7440440560277745,0.9100893249377654,0.670537531425835,0.9997424108829828,RSR,0.0,
75,bfc_SRR1543969_raw_26.corrected.fastq.gz,run.bfc.sh,26,3005,40108,3276,89,222,0,0,46700,6585,11101041,6637,98,239,0,0,0,11114600,Bfc,NA,100,0.4980335803963092,0.9649765533411488,0.47995764634699745,0.9993725370233747,RSR,0.0,
77,bfc_SRR1543968_raw_24.corrected.fastq.gz,run.bfc.sh,24,2459,41320,2777,72,72,0,0,46700,4909,11104697,4830,74,90,0,0,0,11114600,Bfc,NA,100,0.5040558578909539,0.9819963992798559,0.4948146626963754,0.999550681086139,RSR,0.0,
80,bfc_SRR1543969_raw_18.corrected.fastq.gz,run.bfc.sh,18,2693,40107,3556,128,216,0,0,46700,6136,11101047,7040,144,233,0,0,0,11114600,Bfc,NA,100,0.46569520340012144,0.9634165489087769,0.44801153612629024,0.9993326795386249,RSR,0.0,
82,bfc_SRR1543969_raw_20.corrected.fastq.gz,run.bfc.sh,20,2788,40107,3471,117,217,0,0,46700,6280,11101054,6912,128,226,0,0,0,11114600,Bfc,NA,100,0.47604608853850816,0.9652628343067937,0.4589144936325045,0.9993462652727044,RSR,0.0,
83,bfc_SRR1543968_raw_23.corrected.fastq.gz,run.bfc.sh,23,3691,41321,1554,110,24,0,0,46700,6984,11104758,2711,118,29,0,0,0,11114600,Bfc,NA,100,0.7203713254254771,0.9958648224725509,0.7173800928313564,0.9997428607417271,RSR,0.0,
84,bfc_SRR1543968_raw_28.corrected.fastq.gz,run.bfc.sh,28,2542,41273,2672,73,140,0,0,46700,5030,11104630,4706,77,157,0,0,0,11114600,Bfc,NA,100,0.5166392769104355,0.9697320223636013,0.5005135579293344,0.999555539560578,RSR,0.0,
86,bfc_SRR1543969_raw_28.corrected.fastq.gz,run.bfc.sh,28,3097,40080,3143,99,281,0,0,46700,6720,11100989,6490,110,291,0,0,0,11114600,Bfc,NA,100,0.5087055261165784,0.9584937954642704,0.4866767600302801,0.9993800046785309,RSR,0.0,
87,bfc_SRR1543969_raw_14.corrected.fastq.gz,run.bfc.sh,14,2330,40107,3876,138,249,0,0,46700,5563,11100996,7601,156,284,0,0,0,11114600,Bfc,NA,100,0.42259191735034946,0.9514280827774927,0.40101792768155575,0.9992765371673294,RSR,0.0,
90,bfc_SRR1543969_raw_16.corrected.fastq.gz,run.bfc.sh,16,2465,40107,3776,108,244,0,0,46700,5781,11101015,7418,121,265,0,0,0,11114600,Bfc,NA,100,0.4379877263429048,0.9561693681773074,0.417910447761194,0.9992978604718119,RSR,0.0,
91,bfc_SRR1543969_raw_21.corrected.fastq.gz,run.bfc.sh,21,4398,40107,1865,152,178,0,0,46700,9208,11101091,3947,165,189,0,0,0,11114600,Bfc,NA,100,0.6999619916381604,0.9798871980419283,0.6855948308627898,0.9996130315081064,RSR,0.0,
93,bfc_SRR1543969_raw_24.corrected.fastq.gz,run.bfc.sh,24,3014,40107,3232,100,247,0,0,46700,6502,11101010,6711,107,270,0,0,0,11114600,Bfc,NA,100,0.4920911223794748,0.9601299468399291,0.4716567017331416,0.9993622802440034,RSR,0.0,
95,bfc_SRR1543969_raw_19.corrected.fastq.gz,run.bfc.sh,19,4301,40107,1940,179,173,0,0,46700,9107,11101098,4017,196,182,0,0,0,11114600,Bfc,NA,100,0.6939195367266078,0.9804069329314242,0.6800518134715026,0.9996045741637126,RSR,0.0,
96,bfc_SRR1543971_raw_19.corrected.fastq.gz,run.bfc.sh,19,3928,41786,918,47,21,0,0,46700,6602,11106354,1568,49,28,0,0,0,11114601,Bfc,NA,100,0.808078335373317,0.9957767722473605,0.8046511627906977,0.9998519964864235,RSR,0.0,
100,bfc_SRR1543971_raw_18.corrected.fastq.gz,run.bfc.sh,18,2655,41786,2193,27,39,0,0,46700,4789,11106330,3401,29,52,0,0,0,11114601,Bfc,NA,100,0.5847374847374848,0.989258417682297,0.5783882783882784,0.9996867183986182,RSR,0.0,
101,bfc_SRR1543970_raw_21.corrected.fastq.gz,run.bfc.sh,21,3862,52880,2435,219,76,0,0,59472,7471,14142552,3969,232,117,0,0,0,14154341,Bfc,NA,100,0.6530594405594405,0.9845809172377438,0.6428321678321678,0.9996949345787275,RSR,0.0,
102,bfc_SRR1543971_raw_14.corrected.fastq.gz,run.bfc.sh,14,2383,41481,2365,49,422,0,0,46700,4407,11105923,3754,58,459,0,0,0,11114601,Bfc,NA,100,0.5400073520401911,0.905672009864365,0.4837642445778704,0.999615730695146,RSR,0.0,
104,bfc_SRR1543970_raw_14.corrected.fastq.gz,run.bfc.sh,14,2014,52881,4224,212,141,0,0,59472,4415,14142477,7036,221,192,0,0,0,14154341,Bfc,NA,100,0.3855558466509475,0.9583242891252441,0.36878875207405465,0.9994737303559381,RSR,0.0,
105,bfc_SRR1543971_raw_16.corrected.fastq.gz,run.bfc.sh,16,2516,41704,2310,31,139,0,0,46700,4602,11106225,3583,34,157,0,0,0,11114601,Bfc,NA,100,0.5622480146609652,0.9670098760243748,0.5430665852168601,0.9996604466503116,RSR,0.0,
109,bfc_SRR1543969_raw_23.corrected.fastq.gz,run.bfc.sh,23,4498,40107,1760,158,177,0,0,46700,9340,11101089,3814,166,191,0,0,0,11114600,Bfc,NA,100,0.7100501748517561,0.9799601301017732,0.6955298768435457,0.9996247278354596,RSR,0.0,
110,bfc_SRR1543971_raw_23.corrected.fastq.gz,run.bfc.sh,23,4029,41786,831,37,17,0,0,46700,6691,11106360,1489,39,22,0,0,0,11114601,Bfc,NA,100,0.8179706601466993,0.9967227767019217,0.815281173594132,0.9998605438017973,RSR,0.0,
111,bfc_SRR1543971_raw_22.corrected.fastq.gz,run.bfc.sh,22,2867,41786,1990,21,36,0,0,46700,5001,11106330,3195,23,52,0,0,0,11114601,Bfc,NA,100,0.6101756954612005,0.989709083712646,0.6038311371400683,0.9997057924076627,RSR,0.0,
114,bfc_SRR1543971_raw_21.corrected.fastq.gz,run.bfc.sh,21,3979,41786,873,41,21,0,0,46700,6655,11106350,1521,43,32,0,0,0,11114601,Bfc,NA,100,0.8139677103718199,0.9952145954837744,0.8100538160469667,0.9998564051017216,RSR,0.0,
115,bfc_SRR1543971_raw_26.corrected.fastq.gz,run.bfc.sh,26,2826,41786,2021,21,46,0,0,46700,5034,11106325,3163,22,57,0,0,0,11114601,Bfc,NA,100,0.614127119677931,0.9888037713612257,0.6071733561058924,0.9997083116164044,RSR,0.0,
116,bfc_SRR1543970_raw_19.corrected.fastq.gz,run.bfc.sh,19,3766,52880,2519,236,71,0,0,59472,7357,14142555,4070,245,114,0,0,0,14154341,Bfc,NA,100,0.6438260260785859,0.9847409985276402,0.63384965432747,0.9996870924615989,RSR,0.0,
117,bfc_SRR1543971_raw_20.corrected.fastq.gz,run.bfc.sh,20,2698,41786,2151,29,36,0,0,46700,4839,11106336,3348,32,46,0,0,0,11114601,Bfc,NA,100,0.5910589959692195,0.9905834186284544,0.5854403322340296,0.9996917568161017,RSR,0.0,
119,bfc_SRR1543970_raw_20.corrected.fastq.gz,run.bfc.sh,20,2421,52881,3871,172,127,0,0,59472,5008,14142498,6483,181,171,0,0,0,14154341,Bfc,NA,100,0.4358193368723349,0.966982042865418,0.42093812548951354,0.9995171092741089,RSR,0.0,
123,bfc_SRR1543970_raw_18.corrected.fastq.gz,run.bfc.sh,18,2321,52881,3970,192,108,0,0,59472,4900,14142528,6567,205,141,0,0,0,14154341,Bfc,NA,100,0.42731315950117726,0.9720293592541163,0.4150170053196128,0.9995115985972077,RSR,0.0,
124,bfc_SRR1543971_raw_28.corrected.fastq.gz,run.bfc.sh,28,2940,41746,1897,18,99,0,0,46700,5207,11106275,2992,20,107,0,0,0,11114601,Bfc,NA,100,0.6350774484693256,0.9798645088445616,0.6220270764727406,0.9997193781405198,RSR,0.0,
126,bfc_SRR1543971_raw_24.corrected.fastq.gz,run.bfc.sh,24,2859,41786,1997,20,38,0,0,46700,5050,11106337,3148,21,45,0,0,0,11114601,Bfc,NA,100,0.616003903391071,0.9911678115799804,0.6105147596974871,0.9997108308251461,RSR,0.0,
128,bfc_SRR1543970_raw_28.corrected.fastq.gz,run.bfc.sh,28,2758,52735,3513,141,325,0,0,59472,5392,14142302,6130,150,367,0,0,0,14154341,Bfc,NA,100,0.4679743100156223,0.9362736586212884,0.4361222010067697,0.9995303914184348,RSR,0.0,
131,bfc_SRR1543970_raw_16.corrected.fastq.gz,run.bfc.sh,16,2163,52881,4102,207,119,0,0,59472,4693,14142503,6756,223,166,0,0,0,14154341,Bfc,NA,100,0.4099047951786182,0.9658365918913356,0.3954057122892829,0.999495207865912,RSR,0.0,
138,bfc_SRR1543970_raw_24.corrected.fastq.gz,run.bfc.sh,24,2616,52881,3722,142,111,0,0,59472,5229,14142506,6293,150,163,0,0,0,14154341,Bfc,NA,100,0.4538274605103281,0.9697700296735905,0.43968061100503386,0.9995332880562932,RSR,0.0,
147,bfc_SRR1543970_raw_23.corrected.fastq.gz,run.bfc.sh,23,4001,52880,2311,200,80,0,0,59472,7660,14142547,3798,214,122,0,0,0,14154341,Bfc,NA,100,0.668528539012044,0.9843227961963505,0.6578809565369175,0.999707934124238,RSR,0.0,
148,bfc_SRR1543970_raw_26.corrected.fastq.gz,run.bfc.sh,26,2648,52881,3677,145,121,0,0,59472,5285,14142489,6236,151,180,0,0,0,14154341,Bfc,NA,100,0.4587275410120649,0.9670631290027447,0.44310389723114313,0.9995360433947437,RSR,0.0,
149,bfc_SRR1543970_raw_22.corrected.fastq.gz,run.bfc.sh,22,2634,52881,3669,171,117,0,0,59472,5252,14142507,6232,188,162,0,0,0,14154341,Bfc,NA,100,0.4573319400905608,0.9700775766531216,0.44322535701846044,0.9995349836491858,RSR,0.0,
243,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,21,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
249,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,18,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
252,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,23,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
258,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,28,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
261,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,16,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
270,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,26,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
272,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,24,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
277,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,14,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
278,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,19,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
279,fiona_SRR1543965_raw_405000.corrected.fastq.gz,run.fiona.sh,20,4835,37755,1205,158,859,1888,2,46700,9566,11096088,1944,191,5181,4061,2,0,11117033,Fiona,NA,50L,0.8311033883579496,0.5086133560187155,0.028149435273675066,0.998976435529156,RSR,1.7990411650302737e-07,0.0
